name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,start,win,game_id
Jarace Walker,6.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.6,-5.0,0,1,202410230DET
Pascal Siakam,31.0,8.0,15.0,0.533,1.0,3.0,0.333,2.0,3.0,0.667,3.0,5.0,8.0,9.0,2.0,0.0,0.0,0.0,19.0,23.2,15.0,1,1,202410230DET
Johnny Furphy,,,,,,,,,,,,,,,,,,,,,,0,1,202410230DET
Enrique Freeman,6.0,0.0,0.0,,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,-5.0,0,1,202410230DET
Tyrese Haliburton,34.0,6.0,18.0,0.333,1.0,9.0,0.111,2.0,2.0,1.0,1.0,4.0,5.0,4.0,3.0,2.0,3.0,2.0,15.0,10.1,15.0,1,1,202410230DET
Aaron Nesmith,18.0,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,4.0,7.0,7.1,-1.0,1,1,202410230DET
Obi Toppin,16.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,2.5,-9.0,0,1,202410230DET
Myles Turner,36.0,7.0,14.0,0.5,3.0,8.0,0.375,3.0,3.0,1.0,0.0,9.0,9.0,4.0,0.0,4.0,4.0,4.0,20.0,15.7,20.0,1,1,202410230DET
T.J. McConnell,15.0,7.0,8.0,0.875,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,14.0,14.6,-11.0,0,1,202410230DET
Tim Hardaway Jr.,28.0,4.0,9.0,0.444,4.0,7.0,0.571,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,14.0,10.5,-2.0,1,0,202410230DET
Daniss Jenkins,,,,,,,,,,,,,,,,,,,,,,0,0,202410230DET
Jalen Duren,30.0,4.0,4.0,1.0,0.0,0.0,,5.0,6.0,0.833,4.0,9.0,13.0,4.0,0.0,0.0,2.0,3.0,13.0,16.5,-16.0,1,0,202410230DET
Marcus Sasser,3.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.7,9.0,0,0,202410230DET
Cole Swider,,,,,,,,,,,,,,,,,,,,,,0,0,202410230DET
Cade Cunningham,36.0,10.0,23.0,0.435,2.0,6.0,0.333,6.0,6.0,1.0,0.0,5.0,5.0,8.0,1.0,0.0,2.0,2.0,28.0,21.2,-10.0,1,0,202410230DET
Jaden Ivey,30.0,5.0,13.0,0.385,0.0,2.0,0.0,7.0,9.0,0.778,4.0,1.0,5.0,4.0,1.0,0.0,1.0,3.0,17.0,13.8,-1.0,1,0,202410230DET
Paul Reed,,,,,,,,,,,,,,,,,,,,,,0,0,202410230DET
Tobias Harris,35.0,6.0,13.0,0.462,1.0,6.0,0.167,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,13.0,5.5,-11.0,1,0,202410230DET
Malik Beasley,27.0,5.0,13.0,0.385,2.0,6.0,0.333,2.0,3.0,0.667,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,14.0,6.3,-5.0,0,0,202410230DET
Alondes Williams,,,,,,,,,,,,,,,,,,,,,,0,0,202410230DET
Simone Fontecchio,14.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,-4.3,3.0,0,0,202410230DET
