name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,start,win,game_id,fanta_score,fanta_value,fanta_gain
LaMelo Ball,30.0,4.0,15.0,0.267,4.0,11.0,0.364,3.0,4.0,0.75,1.0,5.0,6.0,10.0,1.0,0.0,3.0,3.0,15.0,7.0,1,1,202310250CHO,32.8125,17.21530815972222,0.04777343750000007
Terry Rozier,34.0,7.0,16.0,0.438,2.0,7.0,0.286,8.0,12.0,0.667,1.0,4.0,5.0,6.0,0.0,0.0,3.0,2.0,24.0,14.0,1,1,202310250CHO,22.837500000000002,11.834916170634921,0.040174107142857185
Gordon Hayward,33.0,4.0,8.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,3.0,5.0,8.0,7.0,1.0,1.0,6.0,1.0,10.0,15.0,1,1,202310250CHO,20.212500000000002,9.708528125,0.0716531250000001
P.J. Washington,31.0,12.0,18.0,0.667,1.0,6.0,0.167,0.0,0.0,,1.0,4.0,5.0,2.0,0.0,0.0,1.0,4.0,25.0,5.0,1,1,202310250CHO,28.087500000000002,10.187430650684933,0.25523886986301375
Patty Mills,,,,,,,,,,,,,,,,,,,,,0,0,202310250CHO,,4.0,-0.1
Mark Williams,29.0,5.0,6.0,0.833,0.0,0.0,,3.0,3.0,1.0,4.0,11.0,15.0,1.0,3.0,1.0,2.0,2.0,13.0,19.0,1,1,202310250CHO,40.425000000000004,9.45723909883721,0.6126170058139536
Amari Bailey,,,,,,,,,,,,,,,,,,,,,0,1,202310250CHO,,4.0,-0.1
JT Thor,20.0,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0,1,202310250CHO,3.9375,4.0,-0.08156249999999998
Nick Richards,18.0,2.0,2.0,1.0,0.0,0.0,,3.0,4.0,0.75,1.0,3.0,4.0,1.0,0.0,1.0,2.0,3.0,7.0,-14.0,0,1,202310250CHO,10.762500000000001,7.724214903846154,-0.08222740384615379
Théo Maledon,16.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,1.0,3.0,4.0,-5.0,0,1,202310250CHO,8.925,5.610328835227273,-0.03072230113636365
Leaky Black,,,,,,,,,,,,,,,,,,,,,0,1,202310250CHO,,4.0,-0.1
Garrison Mathews,,,,,,,,,,,,,,,,,,,,,0,0,202310250CHO,,4.0,-0.1
Nick Smith Jr.,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,202310250CHO,0.0,4.0,0.0
Brandon Miller,24.0,5.0,9.0,0.556,3.0,7.0,0.429,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,13.0,-13.0,0,1,202310250CHO,17.325,8.7058125,0.04331250000000003
Mouhamed Gueye,,,,,,,,,,,,,,,,,,,,,0,0,202310250CHO,,4.0,-0.1
Jalen Johnson,29.0,9.0,13.0,0.692,1.0,3.0,0.333,2.0,4.0,0.5,0.0,7.0,7.0,2.0,2.0,1.0,0.0,1.0,21.0,8.0,0,0,202310250CHO,29.5,5.465346875,0.5147218750000001
Bruno Fernando,,,,,,,,,,,,,,,,,,,,,0,0,202310250CHO,,4.0,-0.1
Trent Forrest,,,,,,,,,,,,,,,,,,,,,0,0,202310250CHO,,4.0,-0.1
Trae Young,36.0,4.0,19.0,0.211,1.0,9.0,0.111,14.0,15.0,0.933,0.0,1.0,1.0,9.0,1.0,0.0,5.0,3.0,23.0,-11.0,1,0,202310250CHO,16.5,16.80824743150685,-0.3600744863013699
Dejounte Murray,32.0,3.0,14.0,0.214,0.0,3.0,0.0,5.0,6.0,0.833,0.0,2.0,2.0,6.0,0.0,0.0,1.0,0.0,11.0,-15.0,1,0,202310250CHO,9.5,13.524663429054053,-0.388596706081081
Saddiq Bey,28.0,6.0,12.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,2.0,1.0,15.0,-2.0,1,0,202310250CHO,20.25,8.619116365131578,0.1239683388157895
Clint Capela,28.0,6.0,10.0,0.6,0.0,0.0,,3.0,4.0,0.75,6.0,7.0,13.0,0.0,1.0,0.0,2.0,1.0,15.0,-19.0,1,0,202310250CHO,29.0,13.926405769230769,0.10294423076923087
De'Andre Hunter,30.0,4.0,9.0,0.444,1.0,4.0,0.25,0.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,6.0,9.0,-13.0,1,0,202310250CHO,5.0,7.679477611940299,-0.23097014925373133
Bogdan Bogdanović,24.0,3.0,9.0,0.333,1.0,5.0,0.2,0.0,0.0,,0.0,4.0,4.0,4.0,3.0,0.0,0.0,1.0,7.0,6.0,0,0,202310250CHO,15.5,8.656208333333334,-0.002124999999999988
Onyeka Okongwu,19.0,3.0,5.0,0.6,0.0,0.0,,1.0,1.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,5.0,7.0,14.0,0,0,202310250CHO,10.75,9.58193984375,-0.17009140624999997
AJ Griffin,9.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0,0,202310250CHO,1.5,4.804707465277779,-0.18713281250000002
Kobe Bufkin,,,,,,,,,,,,,,,,,,,,,0,0,202310250CHO,,4.0,-0.1
Buddy Hield,25.0,5.0,9.0,0.556,4.0,7.0,0.571,0.0,0.0,,0.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,14.0,15.0,0,1,202310250IND,26.25,11.72634140625,0.13462265625000003
Tyrese Haliburton,26.0,9.0,16.0,0.563,2.0,6.0,0.333,0.0,0.0,,0.0,3.0,3.0,11.0,1.0,2.0,3.0,1.0,20.0,6.0,1,1,202310250IND,40.425000000000004,19.22948828125,0.15214453125000016
Bennedict Mathurin,25.0,6.0,15.0,0.4,2.0,6.0,0.333,4.0,4.0,1.0,0.0,4.0,4.0,5.0,2.0,0.0,2.0,1.0,18.0,14.0,1,1,202310250IND,22.575,7.542379407051281,0.2355685096153846
Myles Turner,23.0,5.0,8.0,0.625,0.0,2.0,0.0,1.0,2.0,0.5,0.0,8.0,8.0,1.0,0.0,3.0,2.0,4.0,11.0,14.0,1,1,202310250IND,19.95,13.315100302419355,-0.10516179435483863
Obi Toppin,19.0,4.0,9.0,0.444,2.0,5.0,0.4,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,11.0,7.0,1,1,202310250IND,14.9625,4.721240865384615,0.16922163461538464
Bruce Brown,27.0,8.0,11.0,0.727,6.0,8.0,0.75,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,24.0,15.0,1,1,202310250IND,33.3375,9.16706907894737,0.44075328947368425
Aaron Nesmith,23.0,2.0,5.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,1.0,3.0,7.0,13.0,0,1,202310250IND,11.2875,6.564746575342466,-0.013849315068493184
Jordan Nwora,5.0,2.0,7.0,0.286,1.0,2.0,0.5,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,0,1,202310250IND,4.4625,5.275901127049181,-0.13178329918032788
Jalen Smith,13.0,5.0,6.0,0.833,2.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,8.0,0.0,1.0,0.0,0.0,4.0,13.0,6.0,0,1,202310250IND,23.3625,7.511235753676471,0.2576511948529412
Isaiah Jackson,11.0,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0,1,202310250IND,6.5625,6.30960119047619,-0.12551785714285713
T.J. McConnell,6.0,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,0,1,202310250IND,11.55,8.178164166666667,-0.08300249999999998
John Butler,,,,,,,,,,,,,,,,,,,,,0,0,202310250IND,,4.0,-0.1
Jarace Walker,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0,1,202310250IND,0.7875000000000001,4.0,0.0019687500000000017
Daniel Theis,,,,,,,,,,,,,,,,,,,,,0,1,202310250IND,,4.555357142857143,-0.1
Andrew Nembhard,21.0,6.0,9.0,0.667,0.0,1.0,0.0,0.0,0.0,,1.0,3.0,4.0,10.0,0.0,0.0,2.0,4.0,12.0,12.0,0,1,202310250IND,31.762500000000003,8.015772499999999,0.45377250000000013
Patrick Baldwin Jr.,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,202310250IND,-1.0,4.0,-0.205
