name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,start,win,game_id,fanta_score,fanta_value,fanta_gain
Torrey Craig,,,,,,,,,,,,,,,,,,,,,,0,0,202411040CHI,,4.696750000000002,-0.1
Svi Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,0,1,202411040CHI,,4.0,-0.1
Walker Kessler,31.0,6.0,7.0,0.857,0.0,0.0,,0.0,2.0,0.0,6.0,10.0,16.0,2.0,0.0,3.0,3.0,5.0,12.0,14.4,6.0,1,1,202411040CHI,37.275,11.268157977752084,0.4448250167551374
Brice Sensabaugh,10.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,-2.4,-4.0,0,1,202411040CHI,-3.6750000000000003,5.457795059671846,-0.3533777776808723
John Collins,30.0,12.0,17.0,0.706,2.0,4.0,0.5,2.0,2.0,1.0,3.0,10.0,13.0,5.0,0.0,1.0,2.0,3.0,28.0,27.0,11.0,0,1,202411040CHI,50.1375,11.809932634480344,0.7560110276946437
Dalen Terry,17.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,0.0,1.0,1.0,2.0,4.0,4.0,-6.0,0,0,202411040CHI,8.5,4.236678758683065,0.022879011370955077
Kyle Filipowski,17.0,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,,1.0,4.0,5.0,2.0,0.0,0.0,1.0,3.0,7.0,5.8,-2.0,1,1,202411040CHI,13.387500000000001,5.987821894185976,0.06830943954097501
Keyonte George,38.0,8.0,18.0,0.444,6.0,12.0,0.5,11.0,13.0,0.846,0.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,33.0,28.7,-1.0,1,1,202411040CHI,43.575,8.701203333090564,0.7307024607444239
Oscar Tshiebwe,,,,,,,,,,,,,,,,,,,,,,0,1,202411040CHI,,4.0,-0.1
Cody Williams,29.0,5.0,8.0,0.625,0.0,1.0,0.0,1.0,4.0,0.25,2.0,3.0,5.0,4.0,1.0,0.0,0.0,1.0,11.0,11.9,16.0,1,1,202411040CHI,19.95,4.631837531864031,0.3039971843624279
Patty Mills,12.0,1.0,3.0,0.333,1.0,3.0,0.333,3.0,3.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,6.0,7.7,9.0,0,1,202411040CHI,13.125,4.4616648438920405,0.133350871230218
Darius Garland,34.0,15.0,22.0,0.682,7.0,11.0,0.636,2.0,2.0,1.0,1.0,1.0,2.0,8.0,0.0,0.0,2.0,1.0,39.0,33.8,7.0,1,1,202411040CLE,51.712500000000006,14.998109277206892,0.6470131754195708
Luke Travers,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,-0.9,-2.0,0,1,202411040CLE,1.05,4.0,-0.15384843750000002
Liam Robbins,,,,,,,,,,,,,,,,,,,,,,0,0,202411040CLE,,4.0,-0.1
Ty Jerome,18.0,3.0,4.0,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,6.7,-15.0,0,1,202411040CLE,8.925,5.23817776645051,-0.01318638690080931
Damian Lillard,37.0,11.0,22.0,0.5,5.0,9.0,0.556,9.0,9.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,8.0,1.0,36.0,22.5,3.0,1,0,202411040CLE,31.75,17.539663274614384,0.004675552505081448
Jarrett Allen,34.0,7.0,14.0,0.5,0.0,0.0,,0.0,2.0,0.0,1.0,14.0,15.0,6.0,2.0,1.0,0.0,0.0,14.0,18.0,6.0,1,1,202411040CLE,41.737500000000004,16.116182298838698,0.33320345188718203
JT Thor,,,,,,,,,,,,,,,,,,,,,,0,1,202411040CLE,,4.0,-0.1
Taurean Prince,14.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,3.9,-8.0,1,0,202411040CLE,9.5,7.194728122696862,-0.09032750316372642
Tristan Thompson,,,,,,,,,,,,,,,,,,,,,,0,1,202411040CLE,,4.0,-0.1
Georges Niang,26.0,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,,0.0,4.0,4.0,2.0,1.0,0.0,0.0,5.0,9.0,7.6,-1.0,0,1,202411040CLE,18.375,5.72833750338465,0.21109927994522595
